Sl. No.,Food Commodities,Units,State/UT,2018,2019,2020,2021,2022,2023
51,Annual Average Retail Prices of Wheat,Unit - (Rs./Kg.),Madhya Pradesh,19.58,21.84,22.63,22.76,26.07,26.93
52,Annual Average Retail Prices of Wheat,Unit - (Rs./Kg.),Maharashtra,27.09,30.77,34.33,32.17,34.13,37.25
53,Annual Average Retail Prices of Wheat,Unit - (Rs./Kg.),Manipur,NA,NA,NA,NA,29.82,30
54,Annual Average Retail Prices of Wheat,Unit - (Rs./Kg.),Meghalaya,30.78,37.04,33.35,31.87,34.33,38.88
55,Annual Average Retail Prices of Wheat,Unit - (Rs./Kg.),Mizoram,NA,NA,20,39.81,39.96,40.49
56,Annual Average Retail Prices of Wheat,Unit - (Rs./Kg.),Nagaland,36.8,33.65,45.17,34.22,37.58,40.22
57,Annual Average Retail Prices of Wheat,Unit - (Rs./Kg.),Orissa,30.89,32.57,33.64,32.88,34.03,36.93
58,Annual Average Retail Prices of Wheat,Unit - (Rs./Kg.),Puducherry,34.64,37.4,36.94,36.95,38.03,39.7
59,Annual Average Retail Prices of Wheat,Unit - (Rs./Kg.),Punjab,19.51,21.29,21.94,21.27,22.69,24.97
60,Annual Average Retail Prices of Wheat,Unit - (Rs./Kg.),Rajasthan,19.69,22.89,22.87,24.93,29.3,29.82
61,Annual Average Retail Prices of Wheat,Unit - (Rs./Kg.),Sikkim,24.02,26.18,28.53,25.75,31.7,36.12
62,Annual Average Retail Prices of Wheat,Unit - (Rs./Kg.),Tamil Nadu,31.51,34.7,35.93,36.14,38.48,42.42
63,Annual Average Retail Prices of Wheat,Unit - (Rs./Kg.),Telangana,27.61,29.06,31.31,32.17,34.19,37.2
64,Annual Average Retail Prices of Wheat,Unit - (Rs./Kg.),Dadra and Nagar Haveli and Daman and Diu,NA,NA,NA,NA,30.93,32.77
65,Annual Average Retail Prices of Wheat,Unit - (Rs./Kg.),Uttar Pradesh,19.22,21.04,21.59,22.07,25.36,25.83
66,Annual Average Retail Prices of Wheat,Unit - (Rs./Kg.),Uttarakhand,21.41,22.83,23.59,21.93,25.18,26.9
67,Annual Average Retail Prices of Wheat,Unit - (Rs./Kg.),West Bengal,17.53,20.09,20.89,22.28,23.7,28.15
68,Annual Average Retail Prices of Atta (Wheat),Unit - (Rs./Kg.),Andaman and Nicobar,50.69,50.84,55.04,56.64,62.76,65.88
69,Annual Average Retail Prices of Atta (Wheat),Unit - (Rs./Kg.),Andhra Pradesh,29.98,31.32,36.8,38.12,40.72,42.92
70,Annual Average Retail Prices of Atta (Wheat),Unit - (Rs./Kg.),Arunachal Pradesh,30,30,34.32,34.69,39.61,40.29
71,Annual Average Retail Prices of Atta (Wheat),Unit - (Rs./Kg.),Assam,29.57,31.05,31.07,29.42,34.1,37.02
